国家,学校分类,排名,成立年份,州省,title,学生人数,性质,城市,网址,rank,宗教信仰
美国,1:18*(5),56*(4),1883*(1),德克萨斯州,德克萨斯大学奥斯汀分校 ,,公立，男女合校,奥斯汀,德克萨斯大学系统（UT）公立常春藤（Public Ivy）美国大学协会（AAU）*(3),31,无
加拿大,医博类大学,3,1908年,英属哥伦比亚,英属哥伦比亚大学 ,"48,768",公立，男女合校,温哥华,www.ubc.ca,26,无
美国,全国性大学,30*(2),1831*(1)(3),纽约州,纽约大学 ,"49,274",私立，男女合校,纽约市,www.nyu.edu,27,无
美国,全国性大学,46*(2),1848*(1),威斯康辛州,威斯康辛大学麦迪逊分校 ,"43,389*(3)",公立，男女合校,麦迪逊,www.wisc.edu,30,无
英国,综合性大学,QS：6(17)；Times：22,1582*(1),苏格兰,爱丁堡大学 ,"27,625（含全日制与非全日制学生）",公立，男女合校,爱丁堡,www.ed.ac.uk,29,无
美国,1:7*(3),USNEWS：11 *(2),1851,伊利诺伊州,西北大学 ,,私立，男女合校*(3),埃文斯顿,美国大学协会(AAU)隐藏常春藤*(1),24,
澳大利亚,五星级大学,ERA：1*(2),1853*(3),维多利亚州,墨尔本大学 ,"40,454*(3)",公立，男女合校,墨尔本,www.unimelb.edu.au,25,无
美国,全国性大学,USNEWS:14*(1),1865年,纽约州,康奈尔大学 ,"21,904",私立，男女合校*(3),伊萨卡,www.cornell.edu,23,
美国,全国性大学,8*(2),1740*(1),宾夕法尼亚州,宾夕法尼亚大学 ,"21,395",私立，男女合校,费城,www.upenn.edu,19,无
美国,医学院,医学研究：3*(2),1873*(1),加利福尼亚州,加州大学旧金山分校 ,"5,590（含研究生、驻院学员、博士后）*(3)",公立，男女合校,旧金山,www.ucsf.edu,15,无
美国,本科：6%*(3),42*(2),公立，男女合校,加利福尼亚州,加州大学圣地亚哥分校 ,8.66Km2，郊区*(1),要有光,拉霍亚,西部学校及学院协会（WASC）,16,1960*(1)
英国,综合性大学,QS世界：1(2)；Times国内：5,1907年*(1),英格兰,帝国理工学院 ,"16,225（含全日制与非全日制）*(2)",公立，男女合校,伦敦,www.imperial.ac.uk,17,无
美国,"15,339*(6)",USNEWS：28*(5),1817,密歇根州,密歇根大学安娜堡分校 ,,公立，男女合校*(6),安娜堡,本科：6.9%*(7),18,
美国,全国性大学,21*(2),1919*(1),加利福尼亚州,加州大学洛杉矶分校 ,"43,301",公立，男女合校,洛杉矶,www.ucla.edu,13,无
美国,全国性大学,3*(5),1701*(1),康涅狄格州,耶鲁大学 ,"12,312",私立，男女合校,纽黑文,www.yale.edu,12,无
3,本科：11%*(4),,私立，男女合校,美国,芝加哥大学 ,0.85Km2 市区*(1),“益智厚生”，意思是“提升知识，以充实人生。”,伊利诺伊州,中北部学院及学校协会（NCACS）,14,1890*(1)
56*(2),本科：15%*(4),,公立，男女合校,美国,华盛顿大学 ,2.8Km2*(1),要有光,华盛顿州,西北学院及大学认证委员会（NWCCU）*(3),11,1861*(1)
美国,1:12*(6),USNEWS：11*(5),1876,马里兰州,约翰霍普金斯大学 ,,私立，男女合校*(6),巴尔的摩,美国大学协会(AAU)*(3)隐藏常春藤,10,
美国,全国性大学,1*(2),1746*(1),新泽西州,普林斯顿大学 ,"8,138",私立，男女合校,普林斯顿,www.princeton.edu,9,无
美国,全国性大学,10*(6),1891*(1),加利福尼亚州,加州理工学院 ,"2,255",私立，男女合校,帕萨迪纳,www.caltech.edu,6,无
美国,1:6,5*(2),1754*(1),纽约州,哥伦比亚大学 ,,私立，男女合校,纽约市,常春藤盟校美国大学协会（AAU）*(1),8,无
英国,综合性大学,QS：1(3)；Times：1,1209*(1),英格兰,剑桥大学 ,"19,580（含全日制与非全日制学生）",公立，男女合校,剑桥,www.cam.ac.uk,7,无
美国,全国性大学,5*(2),1891*(1),加利福尼亚州,斯坦福大学 ,"16,770",私立，男女合校,斯坦福,www.stanford.edu,3,无
美国,全国性大学,21*(3),1868*(1),加利福尼亚州,加州大学伯克利分校 ,"38,204",公立，男女合校,伯克利,www.berkeley.edu,4,无
美国,全国性大学,5*(6),1861*(1),马萨诸塞州,麻省理工学院 ,"11,331",私立，男女合校,剑桥,www.mit.edu,2,无
英国,综合性大学,QS世界：2(6)；Times国内：1,确切年份不可考，授课记录始自1096年*(1),英格兰,牛津大学 ,"25,905（含全日制与非全日制）*(3)",公立，男女合校,牛津,www.ox.ac.uk,5,无
